cartodb_id,name_0,iso,name_1,name_2,name_3,pop,area,popden,hosp_ct
132,Bangladesh,BGD,Dhaka,Dhaka,Tejgaon,9708740,358.6414111,27070.8839,257
219,Bangladesh,BGD,Dhaka,Netrakona,Netrokona S.,437574.8125,383.1195692,1142.136418,24
58,Bangladesh,BGD,Chittagong,Chandpur,Matlab,640954.0625,504.5759292,1270.282678,20
287,Bangladesh,BGD,Khulna,Kustia,Mirpur,349979.75,388.5700383,900.6864027,18
108,Bangladesh,BGD,Chittagong,Lakshmipur,Raipur,273540.75,217.9504895,1255.059122,8
87,Bangladesh,BGD,Chittagong,Cox's Bazar,Chakaria,723420,789.1415848,916.7176258,7
114,Bangladesh,BGD,Chittagong,Noakhali,Hatiya,388245.375,681.0500437,570.068791,1
185,Bangladesh,BGD,Dhaka,Munshigonj,Sirajdikhan,275458.5625,209.7350435,1313.364509,18
245,Bangladesh,BGD,Dhaka,Tangail,Tangail S.,557559,380.1131124,1466.823905,18
48,Bangladesh,BGD,Chittagong,Brahmanbaria,Brahmanbaria S.,1184301.5,653.8149034,1811.371221,17
129,Bangladesh,BGD,Dhaka,Dhaka,Keraniganj,610725.875,214.4067151,2848.445651,16
137,Bangladesh,BGD,Dhaka,Faridpur,Faridpur S.,479010.3438,440.4724935,1087.49207,16
369,Bangladesh,BGD,Rajshahi,Sirajgonj,Ullahpara,566671.9375,503.00262,1126.578501,11
39,Bangladesh,BGD,Chittagong,Bandarbon,Alikadam,27475.93359,794.4069744,34.58672252,
251,Bangladesh,BGD,Khulna,Bagerhat,Mongla,172468,1672.451987,103.1228408,7
252,Bangladesh,BGD,Khulna,Bagerhat,Morrelganj,362886.875,494.0424133,734.5257517,2
381,Bangladesh,BGD,Rangpur,Dinajpur,Parbatipur,414676.9063,534.756288,775.4502669,16
272,Bangladesh,BGD,Khulna,Khulna,Batiaghata,185691.3906,270.1341657,687.404313,4
300,Bangladesh,BGD,Khulna,Shatkhira,Kaliganj,268261.625,519.4439489,516.4399847,5
22,Bangladesh,BGD,Barisal,Borgona,Patharghata,184514.9375,286.6037485,643.7980607,6
75,Bangladesh,BGD,Chittagong,Comilla,Barura,455140,295.208816,1541.756125,15
233,Bangladesh,BGD,Dhaka,Sherpur,Sherpur S.,521890.875,431.0492867,1210.745247,15
32,Bangladesh,BGD,Barisal,Patuakhali,Patuakhali S.,420016.0625,432.6352445,970.8318217,18
341,Bangladesh,BGD,Rajshahi,Nawabganj,Shibganj,754493.0625,644.0880373,1171.412942,2
421,Bangladesh,BGD,Rangpur,Rongpur,Rangpur S.,781459.6875,403.7964291,1935.281323,30
81,Bangladesh,BGD,Chittagong,Comilla,Daudkandi,596038.5,452.5705835,1317.00672,15
18,Bangladesh,BGD,Barisal,Borgona,Amtali,314200.2188,640.852325,490.284901,12
296,Bangladesh,BGD,Khulna,Narail,Narail S.,303984.3438,457.4828785,664.4715202,14
420,Bangladesh,BGD,Rangpur,Rongpur,Pirganj,439571.1875,525.4458073,836.5680749,6
165,Bangladesh,BGD,Dhaka,Kishoreganj,Kishoreganj S.,234841.9844,215.8650993,1087.910853,14
308,Bangladesh,BGD,Rajshahi,Bogra,Gabtali,350680.4375,302.8701242,1157.857476,7
88,Bangladesh,BGD,Chittagong,Cox's Bazar,Cox Bazar S,448508.3125,243.9264552,1838.703031,13
149,Bangladesh,BGD,Dhaka,Gopalgonj,Muksudpur,314996.5625,399.4342246,788.6068422,13
306,Bangladesh,BGD,Rajshahi,Bogra,Dhunat,320439.0625,302.2050711,1060.336484,8
47,Bangladesh,BGD,Chittagong,Brahmanbaria,Bancharampur,344840.0625,244.8416843,1408.420562,13
375,Bangladesh,BGD,Rangpur,Dinajpur,Dinajpur S.,464271.75,442.3272404,1049.611481,15
418,Bangladesh,BGD,Rangpur,Rongpur,Mithapukur,552841.0625,632.1425565,874.5512493,13
294,Bangladesh,BGD,Khulna,Narail,Kalia,213108.7813,336.8225824,632.703365,12
35,Bangladesh,BGD,Barisal,Pirojpur,Mathbaria,376295.9063,996.1007006,377.7689404,15
136,Bangladesh,BGD,Dhaka,Faridpur,Char Bhadrasan,67523.79688,163.6464542,412.6199813,
293,Bangladesh,BGD,Khulna,Meherpur,Meherpur S.,406294.9063,477.5017512,850.8762642,12
261,Bangladesh,BGD,Khulna,Jessore,Jessore S.,106053.8516,505.7994591,209.6756919,12
107,Bangladesh,BGD,Chittagong,Lakshmipur,Lakshmipur S.,755203.6875,564.8633504,1336.96705,12
224,Bangladesh,BGD,Dhaka,Rajbari,Rajbari S.,328659.7188,325.2546347,1010.468979,12
78,Bangladesh,BGD,Chittagong,Comilla,Chandhina,362128.5,240.6185403,1504.990013,12
14,Bangladesh,BGD,Barisal,Bhola,Daulatkhan,199587.3438,117.6074368,1697.063971,
139,Bangladesh,BGD,Dhaka,Faridpur,Nagarkanda,380260.75,473.1372845,803.7006646,12
