"Year","Data Source","Subnational region","Neonatal mortality rate (deaths per 1000 live births)","Infant mortality rate (deaths per 1000 live births)","Under-five mortality rate (deaths per 1000 live births)"
"2014"," DHS"," 01 barisal","33.1 [24.4-44.7]","41.8 [33.1-52.7]","51.3 [42.1-62.5]"
"2014"," DHS"," 02 chittagong","33.8 [26.3-43.2]","48.2 [38.7-59.9]","61.8 [51.3-74.2]"
"2014"," DHS"," 03 dhaka","26.6 [21.5-32.9]","37.4 [30.9-45.1]","47.1 [39.3-56.2]"
"2014"," DHS"," 04 khulna","37.7 [29.0-48.9]","42.6 [33.8-53.7]","50.4 [41.3-61.5]"
"2014"," DHS"," 05 rajshahi","32.8 [26.1-41.1]","42.1 [34.0-51.9]","49.0 [40.0-59.8]"
"2014"," DHS"," 06 rangpur","28.2 [20.2-39.2]","40.5 [30.1-54.3]","45.0 [33.9-59.6]"
"2014"," DHS"," 07 sylhet","45.2 [37.0-55.1]","64.4 [55.6-74.6]","76.9 [67.0-88.0]"
"2012"," MICS"," 01 Barisal","No data","No data","No data"
"2012"," MICS"," 02 Chittagong","No data","No data","No data"
"2012"," MICS"," 03 Dhaka","No data","No data","No data"
"2012"," MICS"," 04 Khulna","No data","No data","No data"
"2012"," MICS"," 05 Rajshahi","No data","No data","No data"
"2012"," MICS"," 06 Rangpur","No data","No data","No data"
"2012"," MICS"," 07 Sylhet","No data","No data","No data"
"2011"," DHS"," 01 barisal","32.3 [25.9-40.3]","45.7 [37.4-55.7]","62.4 [52.7-73.9]"
"2011"," DHS"," 02 chittagong","29.7 [24.1-36.7]","42.0 [35.1-50.2]","62.4 [52.0-74.7]"
"2011"," DHS"," 03 dhaka","34.2 [28.1-41.6]","49.2 [41.4-58.4]","62.0 [53.3-72.1]"
"2011"," DHS"," 04 khulna","33.3 [26.5-41.8]","41.5 [34.2-50.3]","46.9 [39.2-56.1]"
"2011"," DHS"," 05 rajshahi","50.2 [39.8-63.2]","62.1 [50.3-76.4]","73.7 [62.0-87.3]"
"2011"," DHS"," 06 rangpur","35.7 [26.7-47.6]","50.2 [40.4-62.3]","58.3 [48.0-70.6]"
"2011"," DHS"," 07 sylhet","47.3 [38.3-58.1]","66.1 [56.2-77.5]","79.7 [69.2-91.6]"
"2007"," DHS"," 01 barisal","31.4 [24.6-40.1]","49.9 [41.4-60.1]","71.2 [60.6-83.4]"
"2007"," DHS"," 02 chittagong","33.9 [24.4-46.9]","53.4 [42.3-67.1]","78.9 [66.0-94.0]"
"2007"," DHS"," 03 dhaka","37.8 [30.5-46.8]","55.2 [44.5-68.3]","67.7 [55.3-82.8]"
