the_geom,id,continent,country,city,iso_a3,name,h_type,cartodb_id,src_year,src_type,src_add,src_status,src_drawer,notes,h_special,h_vaccine,within_5km,optid,fib_dist,adm1_name
0101000020E6100000EFBA476E6C6856405329F2A0270A3740,,Asia,Bangladesh,,BGD,KALIA,Hospital,45001,25,22,22,22,119,,,,TRUE,45001,,Khulna
0101000020E61000008F57C8EB018B56403E7E2F808C4F3840,,Asia,Bangladesh,,BGD,Shakhipur,Hospital,59234,25,22,22,22,119,,,,TRUE,59234,,Dhaka
0101000020E610000010F764C2A8BD5640D7DACB9700363840,,Asia,Bangladesh,,BGD,Bajitpur,Hospital,58323,25,22,22,22,119,,,,TRUE,58323,,Dhaka
0101000020E6100000385A01F8273956405F030251FBFF3740,,Asia,Bangladesh,,BGD,Daulatpur,Hospital,59614,25,22,22,22,119,,,,TRUE,59614,,Khulna
0101000020E6100000A8751BD47E255640330B5982315F3840,,Asia,Bangladesh,,BGD,Altaf Uz Zaman Collage & Hospital,Hospital,45044,25,22,22,22,119,,,,TRUE,45044,,Rajshahi
0101000020E610000094D50550FF2756402021EC6F645C3840,,Asia,Bangladesh,,BGD,Amena Clinic,Hospital,56193,25,22,22,22,119,,,,TRUE,56193,,Rajshahi
0101000020E610000023042D0988255640D21D41E0375F3840,,Asia,Bangladesh,,BGD,Altaf Uz Zaman Hospital,Hospital,56317,25,22,22,22,119,,,,TRUE,56317,,Rajshahi
0101000020E6100000962C93863F25564049B747CA71603840,,Asia,Bangladesh,,BGD,Tuberculosis Hospital Rajshahi,Hospital,56748,25,22,22,22,119,,,,TRUE,56748,,Rajshahi
0101000020E6100000E2D484A31A2856407A3EDBB4635E3840,,Asia,Bangladesh,,BGD,hospital,Hospital,56773,25,22,22,22,119,,,,TRUE,56773,,Rajshahi
0101000020E6100000F0EE2312604D5640551D835F342B3740,,Asia,Bangladesh,,BGD,Jessore 250 bed General Hospital,Hospital,56456,25,22,22,22,119,,,,TRUE,56456,,Khulna
0101000020E61000003C9FA63BF44C56408902E9071A263740,,Asia,Bangladesh,,BGD,PKS Clinic,Medical Clinic,56595,25,22,22,22,119,,,,TRUE,56595,,Khulna
0101000020E6100000EE9A21B5884D56408A7C2590122B3740,,Asia,Bangladesh,,BGD,Queens Hospital Pvt. Ltd,Hospital,56627,25,22,22,22,119,,,,TRUE,56627,,Khulna
0101000020E6100000DBC13EF0674D5640C4AF7A1BF62A3740,,Asia,Bangladesh,,BGD,Ekota Hospital,Medical Clinic,57505,25,22,22,22,119,,,,TRUE,57505,,Khulna
0101000020E6100000754D400306505640C3D6C114E8293740,,Asia,Bangladesh,,BGD,JESSORE Sadar,Health Center,59453,25,22,22,22,119,,,,TRUE,59453,,Khulna
