the_geom,cleanup,type,country,iso_a3,pop_max,pop_min,name,continent,date_add,cartodb_id,mapper,population,src_geo,src_pop,pop_src_yr,within_5km,region,adm1_name,fib_dist,pop_perc
0101000020E61000004AFA8C55144E4EC01C90DF36AE0736C0,2018-08-08,Provincial Capital,Paraguay,PRY,2500,2000,Mariscal Estigarribia,Latin America,2018-08-08,526,HIP-JM,2000,1,1,2014,true,x,Boquerón,0.94,0.030124478865343400
0101000020E6100000FD56AAF2DA4E4BC051CEF66C468439C0,2018-08-08,Provincial Capital,Paraguay,PRY,320872,320872,Ciudad del Este,Latin America,2018-08-08,6286,HIP-JM,320872,1,1,2014,true,x,Alto Paraná,0.48,4.8330508912402400
0101000020E6100000DAD5B33931634040A4AE101EB99122C0,2018-08-08,Populated place,Tanzania,TZA,36556,18530,Tunduma,Africa,2018-08-08,2470,HIP-JM,18530,1,1,2014,true,x,Mbeya,1.69,0.047017873008353500
0101000020E610000040698A2240C053C00A962D6FEE2D07C0,2018-08-08,Provincial Capital,Ecuador,ECU,286878,276964,Cuenca,Latin America,2018-08-08,6463,HIP-JM,276964,1,1,2014,true,x,Azuay,0.17,2.016449229510700
0101000020E61000005F6F641CEECC53C0CB8D6B6FECFC0FC0,2018-08-08,Provincial Capital,Ecuador,ECU,126368,117796,Loja,Latin America,2018-08-08,5833,HIP-JM,117796,1,1,2014,true,x,Loja,0.34,0.8576192336890100
0101000020E61000009F83E37DFC454240F75C0002BF2C2240,2018-08-08,Provincial Capital,Ethiopia,ETH,73018,73018,Nekemte,Africa,2018-08-08,3971,HIP-JM,73018,1,1,2014,true,x,Oromiya,0.08,0.10973989924543300
0101000020E6100000FB8241ED1CEB4140248CB0AFF9572240,2018-08-08,Populated place,Ethiopia,ETH,31809,13038,Gimbi,Africa,2018-08-08,3975,HIP-JM,13038,1,1,2014,true,x,Oromiya,0.26,0.019595015014954500
0101000020E61000008FE1A391A41045406273E71879A02240,2018-08-08,Provincial Capital,Ethiopia,ETH,174994,147306,Harar,Africa,2018-08-08,5937,HIP-JM,147306,1,1,2014,true,x,Harari People,0.91,0.22138850144139400
0101000020E61000001D5A4B00B74B4F405726E192E73E4140,2018-08-08,Populated place,Afghanistan,AFG,17484,11293,Karokh,Asia,2018-08-08,1740,HIP-JM,11293,1,1,2014,false,x,Hirat,19.17,0.045044437755830500
0101000020E6100000886F8BA671BD3440B95F714AD6D620C0,2018-08-08,Provincial Capital,Angola,AGO,31041,20115,Lucapa,Africa,2018-08-08,4484,HIP-JM,20115,1,1,2014,false,x,Lunda Norte,138.20,0.12234713815354900
0101000020E610000035707B40A8E24D40903B01872F774540,2018-08-08,Populated place,Uzbekistan,UZB,36917,31638,Chimboy,Asia,2018-08-08,2222,HIP-JM,31638,1,1,2014,false,x,Karakalpakstan,,0.12090801391065100
0101000020E61000009AD124EBCFB94D4030EE618ACD334540,2018-08-08,Populated place,Uzbekistan,UZB,60401,50000,Khujayli,Asia,2018-08-08,861,HIP-JM,50000,1,1,2014,false,x,Karakalpakstan,,0.1910803684029500
0101000020E6100000ABD6604CC0525140D3E1F09B25A84440,2018-08-08,National Capital,Uzbekistan,UZB,2184000,1978028,Tashkent,Asia,2018-08-08,7204,HIP-JM,1978028,1,1,2014,false,x,Tashkent,,7.5592463790270200
0101000020E61000009ACCDCCFEB514E408EEF9C77ADC74440,2018-08-08,Provincial Capital,Uzbekistan,UZB,150110,102843,Urgentch,Asia,2018-08-08,5450,HIP-JM,102843,1,1,2014,false,x,Khorezm,,0.39302556655329200
0101000020E610000040D711C9882D4E40A3DD2A8010B24440,2018-08-08,Populated place,Uzbekistan,UZB,149751,55567,Khiwa,Asia,2018-08-08,2221,HIP-JM,55567,1,1,2014,false,x,Khorezm,,0.21235525662093500
0101000020E610000040CEC9C5B75650405F6523C6210E4440,2018-08-08,Provincial Capital,Uzbekistan,UZB,214828,129725,Navoi,Asia,2018-08-08,2225,HIP-JM,129725,1,1,2014,false,x,Navoi,,0.49575801582145500
0101000020E610000072D2B139BD824D40D17FBD5F58E24540,2018-08-08,Populated place,Uzbekistan,UZB,13000,13000,Muynoq,Asia,2018-08-08,4910,HIP-JM,13000,1,1,2014,false,x,Karakalpakstan,,0.049680895784767100
0101000020E6100000E2EAB6FAE0EA5140FD0BDB8100804440,2018-08-08,Provincial Capital,Uzbekistan,UZB,750000,449200,Namangan,Asia,2018-08-08,4913,HIP-JM,449200,1,1,2014,false,x,Namangan,,1.7166660297321100
0101000020E61000001C35A28BB8CE4D40DCD43011293C4540,2018-08-08,Provincial Capital,Uzbekistan,UZB,230006,226416,Nukus,Asia,2018-08-08,6247,HIP-JM,226416,1,1,2014,false,x,Karakalpakstan,,0.86527305384644800
0101000020E61000001E533549851B504065A98272D7E34340,2018-08-08,Provincial Capital,Uzbekistan,UZB,319476,247644,Bukhara,Asia,2018-08-08,6246,HIP-JM,247644,1,1,2014,false,x,Bukhoro,,0.94639813505560400
0101000020E6100000C6A5BFD1ED225040F4525F334CDC4340,2018-08-08,Populated place,Uzbekistan,UZB,107566,62620,Kogon,Asia,2018-08-08,2220,HIP-JM,62620,1,1,2014,false,x,Bukhoro,,0.23930905338785500
0101000020E610000012F0AD409B3251409E41331D743F4440,2018-08-08,Provincial Capital,Uzbekistan,UZB,95520,53373,Guliston,Asia,2018-08-08,867,HIP-JM,53373,1,1,2014,false,x,Sirdaryo,,0.20397065005541300
0101000020E61000008C9BD99533734D4002F97E0F03894540,2018-08-08,Populated place,Uzbekistan,UZB,57758,57758,Qunghirot,Asia,2018-08-08,2223,HIP-JM,57758,1,1,2014,false,x,Karakalpakstan,,0.22072839836435200
0101000020E6100000C3E4CB13E1FA51C090A3201552052240,2018-08-08,Populated place,Venezuela,VEN,97288,56582,San Carlos del Zulia,Latin America,2018-08-08,1966,HIP-JM,56582,1,1,2014,false,x,Zulia,,0.2310569029995500
