the_geom,net_cov,continent,country,iso_a3,provider,band_mhz,pairs,allocation,technology,price,year,cartodb_id,num_subs,duration,cleanup,src_band,src_pairs,src_year,src_price,src_cov,src_subs,state,m_share,notes
,,Asia,Bangladesh,BGD,Robi,2100,,,,,,152,,,3-Sep-14,,,,,,,,,
,,Africa,Kenya,KEN,Airtel,2100,,,,,,783,,,,,,,,,,,,
,,Europe,Malta,MLT,Melita,900,,,,,,942,,,9-Mar-15,,,,,,,,,
,,Africa,Morocco,MAR,Orange,2100,,,,,,1019,,,24-Oct-17,,,,,,,,,
,,Asia,Taiwan,TWN,T Star,2600,,,,,,1488,,,5-Dec-17,,,,,,,,,
,,Asia,Afghanistan,AFG,Salaam,900,,,,,,1,,,11-May-17,,,,,,,,,
,,Asia,Afghanistan,AFG,MTN,900,,,,,,2,,,11-May-17,,,,,,,,,
,,Asia,Afghanistan,AFG,AWCC,900,,,,,,3,,,11-May-17,,,,,,,,,
,,Asia,Afghanistan,AFG,Roshan,900,,,,,,4,,,11-May-17,,,,,,,,,
,,Asia,Afghanistan,AFG,Etisalat,900,,,,,,5,,,11-May-17,,,,,,,,,
,,Asia,Afghanistan,AFG,MTN,1800,,,,,,6,,,11-May-17,,,,,,,,,
,,Asia,Afghanistan,AFG,Etisalat,1800,,,,,,7,,,11-May-17,,,,,,,,,
,,Asia,Afghanistan,AFG,AWCC,1800,,,,,,8,,,11-May-17,,,,,,,,,
,,Asia,Afghanistan,AFG,Roshan,1800,,,,,,9,,,11-May-17,,,,,,,,,
,,Asia,Afghanistan,AFG,Salaam,1800,,,,,,10,,,11-May-17,,,,,,,,,
,,Asia,Afghanistan,AFG,Etisalat,1900,,,,,,11,,,,,,,,,,,,
,,Asia,Afghanistan,AFG,AWCC,2100,,,,,,12,,,11-May-17,,,,,,,,,
,,Asia,Afghanistan,AFG,Roshan,2100,,,,,,13,,,11-May-17,,,,,,,,,
,,Asia,Afghanistan,AFG,MTN,2100,,,,,,14,,,11-May-17,,,,,,,,,
,,Asia,Afghanistan,AFG,Etisalat,2100,,,,,,15,,,11-May-17,,,,,,,,,
,,Asia,Afghanistan,AFG,Salaam,2100,,,,,,16,,,11-May-17,,,,,,,,,
,,Europe,Albania,ALB,Plus,900,,,,,,17,,,9-Mar-17,,,,,,,,,
,,Europe,Albania,ALB,Telekom Albania,900,,,,,,18,,,9-Mar-17,,,,,,,,,
,,Europe,Albania,ALB,Eagle,900,,,,,,19,,,9-Mar-17,,,,,,,,,
,,Europe,Albania,ALB,Vodafone,900,,,,,,20,,,9-Mar-17,,,,,,,,,
,,Europe,Albania,ALB,Telekom Albania,1800,,,,,,21,,,9-Mar-17,,,,,,,,,
,,Europe,Albania,ALB,Plus,1800,,,,,,22,,,9-Mar-17,,,,,,,,,
,,Europe,Albania,ALB,Vodafone,1800,,,,,,23,,,9-Mar-17,,,,,,,,,
,,Europe,Albania,ALB,Eagle,1800,,,,,,24,,,,,,,,,,,,
,,Europe,Albania,ALB,Vodafone,2100,,,,,,25,,,9-Mar-17,,,,,,,,,
,,Europe,Albania,ALB,Telekom Albania,2100,,,,,,26,,,9-Mar-17,,,,,,,,,
,,Europe,Albania,ALB,Eagle,2100,,,,,,27,,,9-Mar-17,,,,,,,,,
